side,firstblood,firstdragon,void_grubs,opp_void_grubs,firsttower,turretplates,opp_turretplates,golddiffat10,xpdiffat10,killsat10,opp_killsat10,golddiffat15,xpdiffat15,killsat15,opp_killsat15,result
1,0,1,0,6,1,8,5,1364,557,4,2,2293,949,6,3,1
0,1,0,6,0,0,5,8,-1364,-557,2,4,-2293,-949,3,6,0
1,0,0,4,2,0,1,8,-88,625,2,3,-75,1092,8,6,1
0,1,1,2,4,1,8,1,88,-625,3,2,75,-1092,6,8,0
1,0,1,2,4,0,1,3,-2583,-1718,1,4,-561,410,4,4,1
0,1,0,4,2,1,3,1,2583,1718,4,1,561,-410,4,4,0
1,1,0,3,3,1,6,6,1260,512,4,1,2860,1199,9,2,1
0,0,1,3,3,0,6,6,-1260,-512,1,4,-2860,-1199,2,9,0
1,0,1,3,3,1,7,3,-1191,-963,0,6,-592,-1346,3,10,0
0,1,0,3,3,0,3,7,1191,963,6,0,592,1346,10,3,1
1,0,0,5,1,0,2,5,611,536,3,3,-2177,-1430,3,7,0
0,1,1,1,5,1,5,2,-611,-536,3,3,2177,1430,7,3,1
1,0,0,6,0,0,8,5,1071,512,2,2,1978,1831,2,2,0
0,1,1,0,6,1,5,8,-1071,-512,2,2,-1978,-1831,2,2,1
1,1,1,3,3,1,6,0,801,1009,1,0,1193,34,1,1,1
0,0,0,3,3,0,0,6,-801,-1009,0,1,-1193,-34,1,1,0
1,1,0,5,0,1,11,1,2984,2004,3,0,5112,2942,7,3,1
0,0,1,0,5,0,1,11,-2984,-2004,0,3,-5112,-2942,3,7,0
1,0,0,1,5,0,3,7,-3806,-2627,3,8,-5038,-4185,8,15,0
0,1,1,5,1,1,7,3,3806,2627,8,3,5038,4185,15,8,1
1,1,1,6,0,1,10,1,1796,1796,3,2,4372,3186,4,3,1
0,0,0,0,6,0,1,10,-1796,-1796,2,3,-4372,-3186,3,4,0
1,0,0,6,0,1,4,1,744,337,5,3,2098,802,7,3,0
0,1,1,0,6,0,1,4,-744,-337,3,5,-2098,-802,3,7,1
1,0,1,0,6,0,2,12,-2428,-1222,0,3,-4894,-2251,2,7,0
0,1,0,6,0,1,12,2,2428,1222,3,0,4894,2251,7,2,1
1,0,1,0,6,1,3,2,1336,1703,3,3,2322,2644,5,3,1
0,1,0,6,0,0,2,3,-1336,-1703,3,3,-2322,-2644,3,5,0
1,0,1,3,0,1,5,1,2232,1946,4,1,4312,2901,8,1,1
0,1,0,0,3,0,1,5,-2232,-1946,1,4,-4312,-2901,1,8,0
1,1,1,6,0,1,13,1,3046,1504,6,3,6548,3115,11,4,1
0,0,0,0,6,0,1,13,-3046,-1504,3,6,-6548,-3115,4,11,0
1,1,1,0,3,1,6,3,2084,1613,5,1,1523,531,6,4,1
0,0,0,3,0,0,3,6,-2084,-1613,1,5,-1523,-531,4,6,0
1,0,0,0,3,0,1,12,-4658,-4069,2,10,-7021,-5241,7,16,0
0,1,1,3,0,1,12,1,4658,4069,10,2,7021,5241,16,7,1
1,0,0,3,0,0,0,5,-2633,-1565,1,4,-5379,-3028,2,7,0
0,1,1,0,3,1,5,0,2633,1565,4,1,5379,3028,7,2,1
1,1,0,3,0,0,1,12,-2948,-3217,3,4,-8069,-6362,6,11,0
0,0,1,0,3,1,12,1,2948,3217,4,3,8069,6362,11,6,1
1,0,0,2,0,1,5,3,-826,-117,0,1,-1210,1098,1,4,0
0,1,1,0,2,0,3,5,826,117,1,0,1210,-1098,4,1,1
1,0,0,6,0,0,0,8,-2706,-1432,2,7,-4077,-3216,5,11,0
0,1,1,0,6,1,8,0,2706,1432,7,2,4077,3216,11,5,1
1,0,1,0,3,0,4,1,-1452,-401,2,5,1110,3574,8,7,1
0,1,0,3,0,1,1,4,1452,401,5,2,-1110,-3574,7,8,0
1,0,0,6,0,0,4,4,-998,-93,0,3,-1843,-305,1,6,0
0,1,1,0,6,1,4,4,998,93,3,0,1843,305,6,1,1
1,1,0,0,0,0,2,6,1692,237,6,1,2588,1667,10,2,1
0,0,1,0,0,1,6,2,-1692,-237,1,6,-2588,-1667,2,10,0
1,0,0,3,0,0,4,5,-815,-383,3,6,-2693,-1148,6,12,0
0,1,1,0,3,1,5,4,815,383,6,3,2693,1148,12,6,1
1,0,0,0,0,0,5,2,-765,-1099,2,3,-1299,-1073,4,7,0
0,1,1,0,0,1,2,5,765,1099,3,2,1299,1073,7,4,1
1,1,1,0,0,1,6,7,580,-1255,10,5,711,-155,15,9,0
